Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://discover.cuyahogalibrary.org/GroupedWork/732d035b-d0af-82c8-8661-e3a098307e69-eng,"Bluey: the videogame",,"Outright Games Limited",2023,"[London]; [London, United Kingdom]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/ba8de99e-4ecb-735e-c917-0dcbd8a1dcb3-eng,"LEGO 2K drive",,"2K Games",2023,"[Novato, California]; [Novato, CA]; Novato, CA","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/bf336fb8-c128-a45d-a115-0e9ab7f8b300-eng,"Madden NFL: 23",,"Electronic Arts Inc",2022,"Redwood City, CA; Redwood, CA","PlayStation 4;PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/095d2e01-ad20-70ab-f35c-a7d5486959f5-eng,"Super mega baseball 4",,"Electronic Arts Inc; Electronic Arts",2023,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/d9a606c6-2341-b1c8-470a-696a844f19a6-eng,"The Smurfs 2: the prisoner of the green stone",,"Microids SA",2023,"Paris, France","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/650d9440-ccc9-5e73-429b-1b271b399048-eng,"Jumanji: Wild Adventures",,"Outright Games Limited",2023,"London, UK","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/11f6aaaf-5b00-5744-c598-a2b48372c2fa-eng,"Sea of stars",,"Sabotage Studio",2024,"[Quebec, Canada]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/db1e2e49-38bc-01b0-58ac-548b5eba9485-eng,"Smurfs Kart",,Microids,"2022 - 2023","Paris, France","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/dbddc979-01b6-8db9-3ab8-08fd5756790b-eng,"LEGO Star Wars: the Skywalker saga",,"Warner Bros. Interactive Entertainment; Whv Games","2021 - 2022","Burbank, CA; [Place of publication not identified]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Middleburg Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/4f25417a-e9b8-c084-69ae-0f6a0fda3ab4-eng,"Sonic origins plus",,"Sega of America, Inc; SEGA of America, Inc",2023,"Irvine, California; Irvine, CA","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
